Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612198440.5259185,2878,-2.4332029819488525;;;;;
1612198441.2859235,2883,-1.164900779724121;;;;;
1612198442.035643,2887,-1.3326047658920288;;;;;
1612198442.4505033,2889,-0.9931873083114624;;;;;
1612198444.5311031,2898,-1.280121922492981;;;;;
1612198445.2910707,2903,-1.1405446529388428;;;;;
1612198447.0224833,2913,-0.923694372177124;;;;;
1612198447.8033957,2917,-1.1395792961120605;;;;;
1612198450.2089655,2928,-1.054722547531128;;;;;
1612198450.2089655,2929,-2.4485297203063965;;;;;
1612198450.5001874,2931,-1.0746467113494873;;;;;
1612198451.9114506,2937,-2.4571096897125244;;;;;
1612198453.812363,2947,-1.1173713207244873;;;;;
1612198454.8406098,2953,-1.0377533435821533;;;;;
1612198455.417046,2957,-1.055176019668579;;;;;
1612198456.8223145,2962,-2.4084060192108154;;;;;
1612198458.131794,2968,-1.089735746383667;;;;;
1612198459.8611653,2976,-1.189826488494873;;;;;
1612198462.1420693,2989,-1.1983001232147217;;;;;
1612198462.5130773,2991,-1.2306861877441406;;;;;
1612198462.9838185,2993,-1.1503181457519531;;;;;
1612198465.5539494,3007,-1.1945466995239258;;;;;
1612198466.0177088,3009,-2.465319871902466;;;;;
1612198466.9033432,3013,-1.1352040767669678;;;;;
1612198468.540999,3018,-2.417947292327881;;;;;
1612198468.540999,3019,-2.445157289505005;;;;;
1612198470.533638,3027,-1.1312425136566162;;;;;
1612198471.1707263,3029,-1.0210559368133545;;;;;
1612198474.2634642,3040,-2.4883861541748047;;;;;
1612198475.4881861,3044,-2.457616090774536;;;;;
1612198476.0247521,3046,-1.017446517944336;;;;;
1612198476.0247521,3047,-2.425837516784668;;;;;
1612198476.4456272,3048,-2.465846300125122;;;;;
1612198477.4140177,3052,-3.034759998321533;;;;;
1612198478.6118405,3056,-2.4072649478912354;;;;;
1612198481.3306015,3067,-0.9263421893119812;;;;;
1612198481.9719005,3068,-2.4707963466644287;;;;;
1612198483.429045,3077,-0.9995545744895935;;;;;
1612198484.3086982,3081,-1.2011888027191162;;;;;
1612198484.659131,3083,-0.9286092519760132;;;;;
1612198485.0142062,3085,-1.392509937286377;;;;;
1612198488.8074107,3102,-2.478285074234009;;;;;
