Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612189081.8923721,1668,-1.4732744693756104;;;;;
1612189083.2607744,1672,-1.3599293231964111;;;;;
1612189083.9264126,1674,-1.4148452281951904;;;;;
1612189084.580116,1676,-1.4187967777252197;;;;;
1612189085.3161478,1678,-1.4988267421722412;;;;;
1612189088.2363262,1686,-1.4854426383972168;;;;;
1612189089.7944686,1690,-1.4463026523590088;;;;;
1612189090.4277763,1692,-1.383103609085083;;;;;
1612189091.0722735,1694,-1.5638813972473145;;;;;
1612189091.7195122,1696,-1.571958065032959;;;;;
1612189092.3588398,1698,-1.4721181392669678;;;;;
1612189094.889067,1706,-1.490805983543396;;;;;
1612189096.1752632,1710,-1.357813835144043;;;;;
1612189096.8145518,1712,-1.4290598630905151;;;;;
1612189098.8720753,1718,-1.3621485233306885;;;;;
1612189099.5440156,1720,-1.496222972869873;;;;;
1612189100.1988416,1722,-1.3360095024108887;;;;;
1612189100.8782718,1724,-1.4435181617736816;;;;;
1612189101.5118709,1726,-1.4093509912490845;;;;;
1612189102.7882173,1730,-1.3674051761627197;;;;;
1612189103.4649286,1732,-1.3847250938415527;;;;;
1612189104.1363618,1734,-1.3553621768951416;;;;;
1612189104.7696753,1736,-1.436771035194397;;;;;
1612189106.0874648,1740,-1.4118813276290894;;;;;
1612189108.182418,1746,-1.4054090976715088;;;;;
1612189109.4954698,1750,-1.5626603364944458;;;;;
1612189110.1363182,1752,-1.4685206413269043;;;;;
1612189111.431489,1756,-1.4361909627914429;;;;;
1612189112.071316,1758,-1.5801291465759277;;;;;
1612189112.7180169,1760,-1.3944286108016968;;;;;
1612189114.173274,1764,-1.5597429275512695;;;;;
1612189114.82646,1766,-1.3523576259613037;;;;;
1612189116.1520185,1770,-1.4805030822753906;;;;;
1612189116.8401957,1772,-1.5079834461212158;;;;;
1612189120.071238,1782,-1.3952345848083496;;;;;
1612189121.4148757,1786,-1.362001657485962;;;;;
1612189122.0512118,1788,-1.4215118885040283;;;;;
1612189122.6880026,1790,-1.4918177127838135;;;;;
1612189123.3243017,1792,-1.5591810941696167;;;;;
1612189123.979424,1794,-1.5609914064407349;;;;;
1612189124.616351,1796,-1.4957377910614014;;;;;
1612189125.2422206,1798,-1.5149178504943848;;;;;
1612189126.552076,1802,-1.448302984237671;;;;;
