Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186857.1483603,2260,-1.0924232006072998;;;;;
1612186859.2581244,2271,-1.1688404083251953;;;;;
1612186860.018085,2274,-1.259340524673462;;;;;
1612186860.7750516,2278,-1.015385389328003;;;;;
1612186861.098951,2280,-1.2758899927139282;;;;;
1612186861.9560947,2284,-2.4044570922851562;;;;;
1612186861.9560947,2285,-2.4103381633758545;;;;;
1612186862.2744482,2287,-1.2599194049835205;;;;;
1612186863.6947298,2292,-1.1202657222747803;;;;;
1612186866.756981,2308,-0.9307729601860046;;;;;
1612186868.4484599,2317,-1.056432843208313;;;;;
1612186869.525582,2321,-1.0585728883743286;;;;;
1612186871.9883528,2332,-1.1260548830032349;;;;;
1612186873.4229589,2338,-0.995869517326355;;;;;
1612186873.4229589,2339,-2.519904613494873;;;;;
1612186873.9186025,2341,-3.199678421020508;;;;;
1612186874.3664303,2342,-2.432102680206299;;;;;
1612186876.5775523,2353,-1.1404786109924316;;;;;
1612186877.9648578,2359,-1.3331449031829834;;;;;
1612186880.3235967,2370,-0.9944642782211304;;;;;
1612186880.9015844,2374,-1.0404266119003296;;;;;
1612186881.846027,2380,-1.0595312118530273;;;;;
1612186881.847023,2381,-2.4390981197357178;;;;;
1612186883.0608017,2387,-0.9546028971672058;;;;;
1612186883.4147723,2389,-1.4170255661010742;;;;;
1612186885.7234643,2398,-1.0942977666854858;;;;;
1612186886.0346415,2400,-0.9776750802993774;;;;;
1612186886.0356302,2401,-2.465968132019043;;;;;
1612186887.0688624,2407,-1.1019654273986816;;;;;
1612186888.0902112,2413,-1.2299444675445557;;;;;
1612186888.6307404,2415,-1.0704517364501953;;;;;
1612186889.1184385,2416,-2.4199752807617188;;;;;
1612186889.5702333,2418,-1.2472715377807617;;;;;
1612186889.9163146,2420,-1.3794691562652588;;;;;
1612186892.400716,2430,-2.4383230209350586;;;;;
1612186894.436239,2438,-2.403242349624634;;;;;
1612186895.0256622,2440,-1.0941940546035767;;;;;
1612186897.0193412,2446,-1.024872064590454;;;;;
1612186898.138349,2453,-1.2488610744476318;;;;;
1612186899.0888095,2457,-0.9915841221809387;;;;;
1612186901.0735035,2466,-1.1663837432861328;;;;;
1612186902.8121452,2474,-1.0051791667938232;;;;;
1612186905.6802754,2488,-1.1551361083984375;;;;;
1612186906.5320241,2492,-1.0028483867645264;;;;;
1612186907.8155928,2498,-1.0861692428588867;;;;;
1612186908.4449353,2502,-1.131845235824585;;;;;
1612186908.4449353,2503,-2.408360242843628;;;;;
1612186909.7334943,2508,-2.4968066215515137;;;;;
1612186910.2602842,2510,-1.0562901496887207;;;;;
1612186910.8526998,2514,-1.0255358219146729;;;;;
1612186911.1927915,2516,-1.1180026531219482;;;;;
1612186912.1302857,2522,-1.5058972835540771;;;;;
1612186918.5342681,2553,-1.1237496137619019;;;;;
1612186918.9502258,2555,-1.0150444507598877;;;;;
1612186919.5017176,2557,-1.093375325202942;;;;;
1612186919.9794507,2558,-2.4925966262817383;;;;;
1612186921.0773282,2565,-1.042846441268921;;;;;
1612186922.208304,2571,-0.9626884460449219;;;;;
1612186924.091381,2578,-0.9361811876296997;;;;;
1612186924.091381,2579,-2.4227919578552246;;;;;
1612186924.3736267,2581,-1.0575320720672607;;;;;
1612186925.868765,2589,-1.0150625705718994;;;;;
1612186926.274681,2591,-1.089681625366211;;;;;
1612186926.7424297,2593,-1.0811545848846436;;;;;
1612186927.3543515,2597,-1.1201140880584717;;;;;
1612186928.0569172,2601,-1.160387635231018;;;;;
1612186929.2036853,2604,-2.486903667449951;;;;;
1612186929.9606767,2608,-0.9073237776756287;;;;;
1612186931.9942327,2621,-1.102050542831421;;;;;
1612186933.7166479,2631,-1.0538697242736816;;;;;
1612186934.058738,2633,-1.2028241157531738;;;;;
1612186937.2182627,2651,-1.1707924604415894;;;;;
1612186937.7728055,2653,-1.0685614347457886;;;;;
1612186941.4828646,2673,-0.9332561492919922;;;;;
1612186943.090809,2681,-1.180880069732666;;;;;
1612186944.2330716,2687,-1.0336744785308838;;;;;
1612186944.5293047,2689,-1.3134503364562988;;;;;
1612186945.8531122,2694,-2.4040558338165283;;;;;
1612186946.6061234,2698,-1.4577271938323975;;;;;
1612186946.894329,2700,-1.1611106395721436;;;;;
1612186949.1451957,2715,-0.9799575209617615;;;;;
1612186949.498256,2717,-1.0660828351974487;;;;;
1612186950.1455357,2719,-1.2177516222000122;;;;;
1612186950.5733905,2720,-2.431497097015381;;;;;
1612186951.4337893,2726,-1.147046685218811;;;;;
1612186952.3260365,2730,-1.000296950340271;;;;;
1612186952.621255,2732,-0.9860057234764099;;;;;
1612186953.0750277,2734,-1.0332975387573242;;;;;
1612186956.1757233,2748,-2.436342239379883;;;;;
1612186957.8855715,2756,-2.964557647705078;;;;;
1612186958.1907837,2758,-1.4268543720245361;;;;;
1612186959.4962919,2764,-1.2233070135116577;;;;;
1612186961.9612806,2777,-1.053652048110962;;;;;
1612186962.5497034,2781,-1.0175565481185913;;;;;
