Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612301611.5706093,2559,-1.6925973892211914;;;;;
1612301616.0072129,2572,-1.0306252241134644;;;;;
1612301616.0072129,2576,-1.2299294471740723;;;;;
1612301620.9585538,2582,-1.002183198928833;;;;;
1612301620.9585538,2585,-2.776632070541382;;;;;
1612301620.9585538,2587,-1.0693871974945068;;;;;
1612301620.9595513,2591,-1.4659479856491089;;;;;
1612301620.9595513,2593,-1.601812720298767;;;;;
1612301620.9605482,2597,-1.0309942960739136;;;;;
1612301620.9605482,2598,-2.8530049324035645;;;;;
1612301625.3639412,2603,-1.3954486846923828;;;;;
1612301629.1589394,2635,-1.1151667833328247;;;;;
1612301629.1589394,2637,-1.3238794803619385;;;;;
1612301629.159905,2639,-1.0391051769256592;;;;;
1612301633.6200292,2641,-1.4523895978927612;;;;;
1612301633.6210265,2649,-1.5337414741516113;;;;;
1612301633.6210265,2655,-1.2104607820510864;;;;;
1612301638.4994042,2663,-1.3507883548736572;;;;;
1612301638.4994042,2665,-1.3151789903640747;;;;;
1612301638.4994042,2667,-1.642029881477356;;;;;
1612301638.5004334,2673,-2.5130820274353027;;;;;
1612301638.5004334,2675,-1.1672396659851074;;;;;
1612301638.5004334,2677,-1.1409895420074463;;;;;
1612301642.8089695,2681,-1.6022908687591553;;;;;
1612301642.8089695,2685,-1.268155813217163;;;;;
1612301642.8089695,2689,-3.180210828781128;;;;;
1612301642.8089695,2693,-1.0936552286148071;;;;;
1612301648.147284,2708,-1.743532419204712;;;;;
1612301648.1482556,2718,-1.6553430557250977;;;;;
1612301654.0260086,2720,-1.7455072402954102;;;;;
1612301654.0260086,2738,-1.4244142770767212;;;;;
1612301658.7548132,2740,-1.6669731140136719;;;;;
1612301663.4250405,2762,-1.1001850366592407;;;;;
1612301663.4250405,2770,-1.7323558330535889;;;;;
