Wall time,Step,Value;;;;;
1612299569.5939732,1421,-1.520999550819397;;;;;
1612299569.5939732,1425,-1.4776921272277832;;;;;
1612299569.5949714,1428,-1.034348726272583;;;;;
1612299569.5949714,1434,-1.0161795616149902;;;;;
1612299569.5949714,1438,-1.2660481929779053;;;;;
1612299569.5949714,1442,-1.6264584064483643;;;;;
1612299569.5959685,1449,-1.6328141689300537;;;;;
1612299569.5959685,1456,-2.8395373821258545;;;;;
1612299569.5969963,1460,-0.9451007843017578;;;;;
1612299569.5969963,1462,-1.2292122840881348;;;;;
1612299569.5978596,1464,-1.3829421997070312;;;;;
1612299569.5978596,1465,-2.4707820415496826;;;;;
1612299569.5978596,1477,-1.150448203086853;;;;;
1612299569.5985892,1488,-1.406991720199585;;;;;
1612299569.5996163,1492,-1.2104027271270752;;;;;
1612299569.5996163,1494,-1.3433845043182373;;;;;
1612299569.5996163,1495,-2.808725595474243;;;;;
1612299569.600587,1501,-1.2792580127716064;;;;;
1612299569.600587,1506,-1.5350289344787598;;;;;
1612299569.600587,1508,-1.5020461082458496;;;;;
1612299569.600587,1514,-1.2298805713653564;;;;;
1612299569.600587,1516,-1.6865183115005493;;;;;
1612299569.600587,1518,-3.4138381481170654;;;;;
1612299569.601902,1522,-1.6439790725708008;;;;;
1612299569.601902,1526,-1.3533135652542114;;;;;
1612299596.1289217,1536,-1.9191592931747437;;;;;
1612299596.1289217,1541,-1.999938726425171;;;;;
1612299596.1289217,1543,-3.2495994567871094;;;;;
1612299596.1289217,1549,-3.458275318145752;;;;;
1612299596.1289217,1550,-2.4286277294158936;;;;;
1612299596.1289217,1552,-1.1021473407745361;;;;;
1612299596.1298945,1555,-2.539459466934204;;;;;
1612299596.1298945,1557,-1.0723202228546143;;;;;
1612299596.1309114,1568,-1.4680125713348389;;;;;
1612299596.1318896,1575,-2.407111883163452;;;;;
1612299596.1318896,1577,-1.7432198524475098;;;;;
1612299596.1318896,1581,-1.4273431301116943;;;;;
1612299596.1318896,1584,-2.430974245071411;;;;;
1612299596.1318896,1588,-1.6916425228118896;;;;;
1612299596.1332397,1590,-1.0244698524475098;;;;;
1612299596.1332397,1592,-1.4997531175613403;;;;;
1612299596.1332397,1594,-1.611474871635437;;;;;
1612299596.1332397,1595,-2.5352606773376465;;;;;
1612299596.1332397,1601,-1.5751914978027344;;;;;
1612299596.1332397,1605,-1.1662577390670776;;;;;
1612299596.1339636,1609,-1.887069582939148;;;;;
1612299596.1339636,1615,-1.3087973594665527;;;;;
1612299596.1339636,1619,-1.0430512428283691;;;;;
1612299596.1349897,1621,-1.573399305343628;;;;;
1612299596.1349897,1623,-1.8403103351593018;;;;;
1612299596.135961,1633,-1.1103277206420898;;;;;
1612299596.135961,1634,-2.4367880821228027;;;;;
1612299596.135961,1637,-1.2778288125991821;;;;;
1612299596.135961,1643,-1.362954020500183;;;;;
1612299596.1372027,1650,-2.4162912368774414;;;;;
1612299596.1372027,1656,-3.3523788452148438;;;;;
1612299596.1372027,1661,-2.547715902328491;;;;;
1612299596.1385357,1663,-1.0311994552612305;;;;;
1612299623.863298,1667,-1.077994704246521;;;;;
1612299623.863298,1670,-1.5544960498809814;;;;;
1612299623.863298,1673,-1.7432883977890015;;;;;
1612299623.8653262,1683,-1.5455937385559082;;;;;
1612299623.8653262,1689,-1.0584139823913574;;;;;
1612299623.8653262,1693,-1.82529616355896;;;;;
1612299623.8653262,1698,-2.397024393081665;;;;;
