Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612270554.2004418,2381,-1.0099698305130005;;;;;
1612270555.189609,2385,-1.5046968460083008;;;;;
1612270556.3988943,2390,-1.1045889854431152;;;;;
1612270556.9594128,2392,-1.493110179901123;;;;;
1612270557.6723118,2397,-1.1514227390289307;;;;;
1612270560.1595924,2408,-1.0704350471496582;;;;;
1612270560.9323125,2412,-1.1817975044250488;;;;;
1612270562.1070387,2418,-1.1702901124954224;;;;;
1612270563.2136374,2424,-1.5398449897766113;;;;;
1612270563.5908337,2426,-1.0642529726028442;;;;;
1612270563.9448264,2428,-1.472661018371582;;;;;
1612270563.9448264,2429,-2.4350359439849854;;;;;
1612270564.5308237,2431,-1.2677173614501953;;;;;
1612270566.62523,2442,-1.058602213859558;;;;;
1612270568.4845998,2452,-2.410301446914673;;;;;
1612270570.7614667,2462,-1.2760159969329834;;;;;
1612270572.236232,2468,-0.9198163747787476;;;;;
1612270572.7905734,2471,-2.529783010482788;;;;;
1612270574.4798913,2478,-1.2495827674865723;;;;;
1612270575.951977,2484,-1.061497688293457;;;;;
1612270577.9815679,2497,-1.421858549118042;;;;;
1612270578.703826,2501,-1.178331971168518;;;;;
1612270580.0312593,2506,-1.1616748571395874;;;;;
1612270580.8865423,2510,-1.2069803476333618;;;;;
1612270581.2884364,2512,-1.246002197265625;;;;;
1612270581.8845046,2517,-1.190415620803833;;;;;
1612270582.261497,2519,-1.0751128196716309;;;;;
1612270583.1285172,2523,-1.9144465923309326;;;;;
1612270583.4276917,2525,-1.534212589263916;;;;;
1612270584.5793107,2531,-1.2849009037017822;;;;;
1612270590.5267856,2561,-1.1144510507583618;;;;;
1612270590.8350656,2563,-1.195925235748291;;;;;
1612270591.1172628,2565,-1.1299927234649658;;;;;
1612270593.2331111,2574,-1.150372862815857;;;;;
1612270593.848334,2579,-1.2720184326171875;;;;;
1612270595.1723385,2587,-1.3002420663833618;;;;;
1612270595.4944773,2589,-1.159740686416626;;;;;
1612270595.788694,2591,-1.6318968534469604;;;;;
1612270597.0446053,2599,-1.2057477235794067;;;;;
1612270597.4834223,2601,-1.1430809497833252;;;;;
1612270597.9218354,2603,-1.217014193534851;;;;;
1612270598.7148964,2607,-1.239317774772644;;;;;
1612270599.5083034,2610,-0.9755217432975769;;;;;
1612270600.298445,2614,-1.0169031620025635;;;;;
1612270600.9108453,2618,-1.2936738729476929;;;;;
1612270603.6805134,2632,-1.11247718334198;;;;;
1612270604.9366817,2641,-1.3293752670288086;;;;;
1612270605.3824372,2643,-1.1069633960723877;;;;;
1612270608.6600735,2658,-1.1003830432891846;;;;;
1612270609.088896,2660,-1.1757428646087646;;;;;
1612270613.097571,2679,-1.153360366821289;;;;;
1612270616.0385563,2692,-0.969680905342102;;;;;
1612270616.0385563,2693,-2.4414215087890625;;;;;
1612270617.0015488,2699,-1.127327799797058;;;;;
1612270617.5886343,2703,-1.0832382440567017;;;;;
1612270618.1113355,2705,-0.9773232936859131;;;;;
1612270620.5118015,2719,-1.2902426719665527;;;;;
1612270620.8518658,2721,-1.0251065492630005;;;;;
1612270621.205873,2723,-1.0895602703094482;;;;;
1612270621.703738,2725,-1.358001947402954;;;;;
1612270622.9720662,2730,-2.458177089691162;;;;;
1612270623.6185334,2734,-1.150193452835083;;;;;
1612270624.0735912,2736,-1.1892542839050293;;;;;
1612270624.5334315,2738,-0.9879428744316101;;;;;
1612270627.422112,2754,-1.2450060844421387;;;;;
1612270629.1165519,2762,-2.476361036300659;;;;;
1612270629.117573,2763,-2.488370895385742;;;;;
1612270630.6311777,2768,-2.475571632385254;;;;;
1612270632.70875,2778,-1.2720377445220947;;;;;
1612270633.5966768,2782,-1.0432931184768677;;;;;
1612270636.543985,2801,-1.2012213468551636;;;;;
1612270638.4103417,2810,-1.2529845237731934;;;;;
1612270638.7275035,2812,-1.2418828010559082;;;;;
1612270639.3026426,2816,-0.9796708226203918;;;;;
1612270639.7405186,2818,-1.1051983833312988;;;;;
1612270642.2161744,2830,-1.016756534576416;;;;;
1612270642.2161744,2831,-2.4479544162750244;;;;;
1612270644.5251112,2842,-1.1704957485198975;;;;;
1612270644.9579554,2844,-0.9583591222763062;;;;;
1612270647.4963639,2861,-2.412168025970459;;;;;
1612270648.8958333,2869,-1.0346556901931763;;;;;
1612270649.5500944,2873,-1.4767282009124756;;;;;
1612270650.948786,2880,-2.4948253631591797;;;;;
1612270653.6783545,2897,-1.2097020149230957;;;;;
1612270654.3019135,2901,-1.0875955820083618;;;;;
1612270655.2564633,2907,-1.0862613916397095;;;;;
1612270656.0261676,2911,-1.1509833335876465;;;;;
1612270656.5228245,2913,-1.1406123638153076;;;;;
1612270658.1030574,2921,-1.0930850505828857;;;;;
1612270659.4385052,2926,-2.4451067447662354;;;;;
1612270661.3983946,2936,-1.0615770816802979;;;;;
1612270661.7515554,2939,-2.4071574211120605;;;;;
1612270663.6184037,2946,-1.2287733554840088;;;;;
1612270664.2809918,2950,-1.2328598499298096;;;;;
1612270664.6200964,2952,-1.2803137302398682;;;;;
1612270665.2676904,2954,-1.2798808813095093;;;;;
1612270665.8789907,2956,-2.4753541946411133;;;;;
1612270666.8703654,2960,-1.0844976902008057;;;;;
1612270667.7032452,2965,-2.4863483905792236;;;;;
1612270669.125462,2970,-2.4398670196533203;;;;;
1612270669.5243638,2973,-1.170591115951538;;;;;
1612270670.957002,2979,-1.1745903491973877;;;;;
1612270672.393236,2984,-1.1110426187515259;;;;;
1612270673.425445,2991,-1.2030894756317139;;;;;
1612270675.9704256,3005,-1.3276938199996948;;;;;
1612270676.316593,3006,-2.805732488632202;;;;;
1612270676.608198,3008,-1.2209378480911255;;;;;
1612270679.1857755,3022,-1.042386770248413;;;;;
1612270679.783566,3026,-1.0961823463439941;;;;;
